"","vote16","protest","vote20jb","vote20bs","apppres7","econpres7","covidpres7","healthcarepres7","dtleader1","dtleader2","econnow","confecon","taxecon","hlthcare2","covid1","covid2","covid_elect","impeach1","impeach2","inc_anes","inc_cpsmod"
"43",1,0,1,1,1,1,2,77,2,77,4,3,3,2,5,1,1,7,1,21,66
"44",4,0,2,2,7,7,1,77,3,77,3,1,4,3,1,1,3,4,4,66,2
"45",2,0,2,2,6,3,7,77,4,77,4,4,4,4,1,1,4,5,3,13,66
"46",1,0,1,1,1,1,1,77,1,77,2,2,1,2,4,3,1,7,1,66,10
"47",4,0,1,1,1,1,1,77,1,77,3,4,2,3,2,1,2,5,4,66,6
"48",1,0,1,1,1,1,1,77,1,77,2,2,2,2,5,4,2,7,1,66,5
"49",3,0,1,1,3,1,4,77,2,77,3,4,4,1,3,1,3,7,2,66,66
"50",2,0,2,3,5,5,6,77,5,77,5,5,4,1,2,1,3,3,5,66,22
"51",3,0,2,2,2,2,3,77,2,77,4,2,3,1,4,3,1,6,2,66,3
"52",1,0,1,1,1,1,1,77,1,77,1,5,1,5,1,1,1,1,1,66,23
"53",1,1,1,1,1,1,1,77,1,77,1,2,1,4,4,4,1,1,1,66,16
"54",4,0,4,4,7,7,7,77,5,77,5,1,7,1,5,5,4,7,7,7,66
"55",2,0,2,2,3,3,4,77,2,77,3,2,5,2,2,2,1,3,3,66,16
"56",4,0,3,3,4,5,5,77,3,77,4,4,3,4,3,3,2,4,3,11,66
"57",1,0,1,1,3,1,1,77,1,77,2,4,5,4,1,2,2,1,1,66,1
"58",2,0,2,2,7,5,6,77,3,77,5,3,6,1,4,3,3,1,7,66,66
"59",1,0,1,1,2,2,3,77,1,77,4,5,5,2,4,1,2,7,1,66,4
"60",4,0,2,2,4,4,4,77,4,77,3,3,4,3,3,3,2,4,4,11,66
"61",1,0,1,1,1,4,1,77,1,77,5,3,4,5,4,3,4,7,1,66,66
"62",2,0,2,2,7,7,7,77,5,77,5,4,4,5,1,2,3,1,7,66,21
"63",1,0,1,1,3,2,4,77,4,77,4,4,3,3,1,1,4,6,3,66,24
"64",1,0,2,2,2,2,1,77,2,77,2,1,2,2,3,3,3,3,2,3,66
"65",1,0,1,1,2,2,2,77,2,77,5,5,5,2,1,1,4,7,1,3,66
"66",1,0,1,1,2,2,2,77,2,77,1,2,4,2,4,2,2,7,1,21,66
"67",2,1,2,2,7,6,7,77,5,77,5,5,5,5,2,1,2,1,7,66,66
"68",4,0,2,2,7,6,7,77,5,77,4,3,7,3,1,3,3,1,7,4,66
"69",2,0,3,2,7,4,4,77,5,77,4,2,3,4,2,3,3,2,7,66,66
"70",1,0,1,1,1,1,1,77,1,77,1,1,1,1,1,1,4,2,2,22,66
"71",2,0,2,2,7,7,7,77,5,77,4,3,6,4,3,3,2,1,7,11,66
"72",2,0,2,2,7,7,7,77,5,77,4,5,6,2,3,1,3,2,6,66,66
"73",3,0,4,4,7,7,7,77,5,77,5,5,7,3,5,5,4,7,7,1,66
"74",2,0,2,2,7,5,7,77,5,77,5,5,7,4,3,2,3,1,7,66,66
"75",1,0,1,1,1,2,2,77,1,77,4,4,1,2,4,1,1,7,1,3,66
"76",4,0,2,4,6,6,6,77,5,77,5,2,3,2,3,4,3,1,7,14,66
"77",2,0,2,2,5,3,2,77,1,77,2,3,3,2,2,3,2,3,4,23,66
"78",4,0,4,4,5,4,7,77,5,77,4,2,4,4,5,1,1,7,3,66,3
"79",4,0,4,4,7,4,4,77,5,77,4,4,4,3,4,2,4,1,1,66,5
"80",4,0,4,2,4,4,4,77,3,77,3,3,4,3,3,3,2,4,4,8,66
"81",2,0,2,2,7,4,7,77,5,77,5,5,3,2,2,1,3,1,7,11,66
"82",2,0,3,2,1,5,4,77,1,77,1,4,1,4,1,2,2,3,3,66,23
"83",1,0,1,1,1,1,1,77,1,77,2,1,1,1,5,5,1,7,1,2,66
"84",1,0,1,1,1,2,1,77,1,77,1,1,1,1,1,1,1,4,1,22,66
"85",1,0,1,1,2,2,3,77,2,77,3,4,2,3,3,3,2,4,4,66,15
